sample	DADA2_input	filtered	denoisedF	denoisedR	merged	nonchim
Baao_Agri_563	100883	78580	74668	74559	56722	51686
Baao_Center_563	84828	66276	63385	63509	48697	45184
Baao_Tribu_563	88044	71242	67413	67614	52275	48516
Bato_Center_563	90558	72838	70687	70527	59262	57720
Bato_Resid_563	77769	61879	58806	59175	44088	41912
Bato_Tilap_563	88605	71032	68676	68585	58817	56994
Bato_Tribu_563	67788	52480	50659	50642	44327	43296
Buhi_Center_563	90123	73297	70542	70602	57799	55533
Buhi_Resid_563	98900	80903	77869	77738	62207	58592
Buhi_Tilap_563	97249	79302	76497	76202	63002	60206
Buhi_Tribu_563	88765	69700	67218	67081	53508	50919
