id	location	site	faith_pd
#q2:types	categorical	categorical	numeric
Baao_Agri_563	Baao	Agri	42.2162600096076
Baao_Center_563	Baao	Center	35.4813579189352
Baao_Tribu_563	Baao	Tribu	40.2723627024215
Bato_Center_563	Bato	Center	61.3696181142749
Bato_Resid_563	Bato	Resid	42.0612281645332
Bato_Tilap_563	Bato	Tilap	66.8064757475713
Bato_Tribu_563	Bato	Tribu	54.1697436321111
Buhi_Center_563	Buhi	Center	46.6640490425998
Buhi_Resid_563	Buhi	Resid	57.252103076532
Buhi_Tilap_563	Buhi	Tipal	49.5090093367969
Buhi_Tribu_563	Buhi	Tribu	49.7002857953324
